evolution$generation,evolution$evaluated,giniParcelles,croissanceDemographique,troupeau,giniTroupeau,malusFertilite,strategiePaturage,maxSacs,tauxArachideNourriture,ratioArachideSubsitence,objective$deltaPopulation,objective$deltaFertilite,evolution$samples,deltaFertilite,deltaPopulation
13000,182981,0.18716715143530702,0.02,250.0,0.1,0.20561758021806223,collectif,4.4210850037482725,2.0,1.0,0.065625,-0.02376030752122481,30,"[0.006511152857238196,0.035460254763970946,-0.060577813641387805,-0.10716086313956265,-0.08229851713085028,-0.09880225139952005,-0.10666212425336193,0.05310891747223645,0.012132562818704255,0.03320686442866867,0.09642177869017425,0.0497482073831091,-0.1140008483501858,-0.0039315934463773775,0.021626598741882774,-0.05535116231000216,-0.040793602536525926,-0.11790745106994113,-0.10067629638931977,-0.05191434376011069,-0.07042150173594432,0.030410491030122253,-0.0035690755159223336,0.026529066629098798,0.0013724936297320341,-0.049661972669445074,-0.076829218268682,0.11304017031988606,-0.009799926328216102,-0.03772068871423352]","[0.11875,0.14375,-0.04375,-0.03125,-0.00625,0.05625,-0.025,0.11875,0.1125,0.14375,0.175,0.1125,-0.00625,0.1,0.08125,0.03125,0.125,0.0,-0.00625,0.0625,0.0125,0.0375,0.09375,0.00625,0.06875,0.0,0.0125,0.15625,0.1125,0.1]"
13000,182981,0.3513301986909475,0.015504664867993376,250.0,0.5094778017292169,0.5765976939262439,collectif,4.416639329233095,2.0,0.9657113306592422,-0.1625,-0.19505071789680573,30,"[-0.2852993118952133,-0.2613098250131098,-0.03376328342103849,-0.24584942813282884,-0.2292826045273279,-0.07125532097152616,-0.3404267226904859,-0.34750174007858947,-0.14139929012165317,-0.1245767552868597,-0.15865128424016905,-0.20341639044735924,-0.1337565371715698,-0.21596786223046574,-0.2559860856390858,-0.2205257082418736,-0.13540200283698406,-0.17476509738995394,-0.19471921881204893,-0.18913649349399977,-0.19538221698156252,-0.1320353016493212,-0.0603068874344215,-0.2711229860106623,-0.20418054406925257,-0.12169420474144055,-0.14153583711506443,-0.2574202530205074,-0.11862286432245417,-0.27941001946963656]","[-0.18125,-0.20625,-0.01875,-0.1375,-0.1875,-0.14375,-0.2375,-0.2875,-0.0625,-0.1,-0.175,-0.125,-0.0375,-0.05625,-0.125,-0.175,-0.225,-0.1625,-0.2,-0.15625,-0.175,-0.0875,-0.075,-0.21875,-0.09375,-0.1625,-0.10625,-0.23125,-0.1875,-0.175]"
13000,182981,0.23271752790872446,0.004740904974497648,209.4006487498694,0.20573402434076374,0.1557814503247439,collectif,4.026531134974491,1.7644146191195005,0.9209266957833424,-0.15,0.03465055506218753,30,"[0.04360262534678176,0.11157824396370537,0.06086783970000584,-0.06768993278863543,0.12823040273786557,0.06214115306106579,0.04770297152757957,-0.004435233323633017,-0.008917246606266614,-0.056977611161619486,0.008304910526938889,0.027263714979219537,-0.0011869419060053894,-0.04125145462543407,0.029594066642195466,-0.09217387267699861,0.1464276137199989,0.07632102412898886,0.04350823548278817,0.035008872391403004,-0.01750427357722215,0.03429223773297206,0.029518306260217165,-0.030773302437841998,0.07879844185302805,0.08162453077467743,0.02725029018165482,0.10061248194138261,0.07642498966294795,0.046570983370547915]","[-0.125,-0.1,-0.11875,-0.20625,-0.09375,-0.125,-0.15,-0.1875,-0.15625,-0.1625,-0.13125,-0.1375,-0.1,-0.19375,-0.18125,-0.21875,-0.0875,-0.1125,-0.11875,-0.15625,-0.20625,-0.15,-0.15,-0.175,-0.1625,-0.11875,-0.125,-0.16875,-0.1,-0.15625]"
13000,182981,0.1,0.02,248.50234116690487,0.6,0.08753230370134078,collectif,0.3580714974058072,1.5454305445935725,1.0,0.05625,0.11739313662373532,2,"[0.1494647940915722,0.08532147915589842]","[0.05625,0.05625]"
13000,182981,0.12174762776836491,0.017986092086524106,216.5614914673049,0.10225738921781688,0.0,par cuisine,0.530844227613563,1.990086519699903,0.9986438061879961,0.096875,0.7913911836439859,30,"[0.8255868209696335,0.6782303949205011,0.7591922067508645,0.8171616573084124,0.829042291955556,0.8374801857384545,0.7428124027946638,0.788778467110024,0.8099632483269442,0.7664839264938786,0.7792187312289163,0.802734564558476,0.7158526468244626,0.8286250146476912,0.7940039001779478,0.8441200166290747,0.8328733275534759,0.8830123446104391,0.7361375124024334,0.8047131405371498,0.7826064351941987,0.8275035226766314,0.7371441833540574,0.8110841312325876,0.8226788810459776,0.7431090493295373,0.7347685923047412,0.7823307227939861,0.7662295742853442,0.767485859970163]","[0.1375,0.05,0.075,0.125,0.16875,0.15,0.1,0.1625,0.09375,0.09375,0.0625,0.075,-0.05,0.075,0.09375,0.125,0.13125,0.25625,0.075,0.125,0.10625,0.16875,0.06875,0.14375,0.1875,0.11875,0.075,0.04375,0.075,0.0375]"
13000,182981,0.12248425050504307,0.018192003571434395,215.38150944722778,0.1459466981794923,0.0,mixte,0.0,1.9901282855927371,1.0,0.1875,0.6639039033935562,1,"[0.6639039033935562]","[0.1875]"
13000,182981,0.25157446628153435,0.019999999999999997,250.0,0.6,0.3971086955040915,collectif,5.0,2.0,1.0,0.025,-0.07664770192439835,30,"[-0.07893838321315341,-0.07203189868200581,-0.080522744478353,0.030393073698239806,-0.045008983853010096,-0.07435702063564327,-0.03883051441119338,-0.06601235526401707,-0.07972346877437779,-0.051279943103706926,-0.19820375033225268,-0.1619003991809839,-0.17773875375123196,-0.058834467753778076,-0.06083923144338908,-0.06344746731104407,-0.06422153093304193,-0.11360867457333924,-0.0687442745710156,-0.03699505243115341,0.043435534324711034,-0.10782491516666814,-0.09047810665662157,-0.08244520405082627,-0.13521322431460153,-0.09735116029479442,-0.09122351262874101,-0.03618401598692507,-0.10851824825527918,-0.0863293043052524]","[0.075,0.025,0.01875,0.14375,0.025,0.075,0.0625,0.075,0.05625,0.0125,-0.04375,-0.1,-0.04375,0.0875,0.08125,-0.04375,-0.0125,-0.0375,0.03125,0.0,-0.03125,0.04375,0.08125,0.01875,-0.0625,0.01875,0.03125,0.01875,0.04375,0.03125]"
13000,182981,0.2066900314651838,0.02,248.86013075298197,0.5768989291996965,0.354200299526005,collectif,2.1260399269618886,2.0,0.9999961826862043,0.05625,-0.10194769207792564,1,"[-0.10194769207792564]","[0.05625]"
13000,182981,0.1,0.019999977933246867,250.0,0.1,0.0,collectif,4.428330266765635,1.988394066476516,0.0,-0.384375,-0.050148645252323855,2,"[0.11383004686694702,-0.21412733737159473]","[-0.325,-0.44375]"
13000,182981,0.20619448866804715,0.012091237420276551,250.0,0.22965945821548123,0.5023769677857388,collectif,2.475548151401721,1.9999999999999998,0.964113856920805,-0.00625,-0.08884838229623977,30,"[-0.0152641294050664,-0.13643949192914598,-0.11688732698538144,-0.13780984593727505,-0.04714360355709588,-0.11572169826216631,-0.051828269861878794,-0.040508587380294954,0.027157970431640425,-0.04823693039413817,0.019793644032586308,-0.12399381062351304,-0.1238650212841865,-0.2002563157178294,-0.009395043267150422,-0.10255726605353266,-0.05195830241986265,-0.039856347021994254,-0.1066864898801059,-0.1148576253013658,0.0028173811005978598,-0.0465157977809007,-0.07513949853894689,-0.20053381062054146,-0.10935653290435172,-0.010306201062434548,-0.13210528433854443,-9.858006672297417E-4,-0.1157597005100022,-0.1240872393405568]","[0.01875,-0.03125,-0.04375,-0.04375,-0.00625,-0.0125,-0.04375,-0.00625,0.025,0.0375,0.06875,0.04375,-0.08125,-0.09375,0.0375,0.0,0.06875,0.0375,-0.01875,0.0,0.01875,0.00625,-0.025,-0.0625,-0.01875,0.075,-0.03125,0.025,-0.0125,-0.03125]"
13000,182981,0.19431909955886154,0.02,243.96682310243747,0.21216947861369778,0.6440720856790543,collectif,4.726678583462959,1.9376851963257484,0.8462794483714862,0.003125,0.024669570311943834,30,"[0.035866495320066104,0.050818464076760286,0.08578649016587737,0.04959838221983891,0.04273205345427529,-0.13107072769318262,-0.06555619003452322,-0.03401016396414072,0.09701620509511498,-0.07963938758249844,-0.06688674646989999,-0.05412037200424071,0.032680920078960805,0.04971657116058686,0.09484225175480382,0.005910517479085701,-0.01339475348981714,-0.01784083795568617,-0.07251311898668285,0.031291302894881634,0.03546421227970306,0.019663285790389933,-0.016250379338517154,0.029675854833497738,0.08254694178702496,0.08113804721386256,-0.03625879694163667,-0.05758388442108485,-0.003425339099229588,0.08235499469370776]","[0.01875,0.0,0.09375,0.0125,0.00625,-0.08125,-0.05625,-0.0875,0.05625,-0.0375,-0.00625,-0.01875,0.0125,0.0,0.08125,0.025,-0.125,0.01875,-0.10625,0.03125,0.025,-0.05625,-0.04375,0.0125,0.0375,0.025,-0.00625,-0.025,-0.075,0.05625]"
13000,182981,0.3649887803029608,0.0032328446639903374,228.37602148015483,0.21266055137983644,0.784340906739097,collectif,1.35377397625699,1.5009281262800584,0.9792797583331119,-0.275,-0.13300483959572001,30,"[-0.06978338316462049,-0.12888221291522783,-0.15615323437805945,0.05464742424368167,-0.21001858117998984,-0.09223195357600139,-0.28297263462705025,-0.2948293148139711,-0.08407690859239489,-0.24365155086095386,-0.04033214201706897,-0.23255292887892176,-0.13009879762203833,-0.18708080871137167,-0.23252986382533822,-0.2552696966591885,-0.2264871371672026,-0.217883786980456,-0.13591088156940173,-0.25349303628966685,-0.20721664217425967,0.03535159630345866,-0.07256293505982309,0.059943336144949566,0.08842574578289353,0.021558262769087025,-0.09812100263675404,-0.10166372184327965,-0.21982732809642544,-0.04511489120313258]","[-0.275,-0.3375,-0.25,-0.225,-0.2625,-0.325,-0.34375,-0.35,-0.38125,-0.3625,-0.26875,-0.3,-0.25625,-0.3,-0.33125,-0.31875,-0.275,-0.25,-0.28125,-0.29375,-0.28125,-0.25,-0.2625,-0.275,-0.25,-0.25,-0.19375,-0.275,-0.26875,-0.24375]"
13000,182981,0.2656894636303656,0.010841281252185456,237.85279260077502,0.5908042441733352,0.7432731904071285,collectif,0.9368135752960804,1.696568216792693,0.9858041946860596,-0.115625,-0.06856125746610764,30,"[-0.07836766679371088,8.281192116332656E-4,-0.07671575217793203,-0.04407436529699931,-0.049736358708346806,-0.10515094287130954,-0.052834494650805926,-0.05611880887137582,-0.11242542871025347,-0.002894732012873614,-0.16985449836113395,-0.1275337756537937,0.03265759368429085,-0.11216781424237612,-0.011739134760978268,-0.0274808654220795,-0.05307988497525918,-0.17549994103708658,0.02917717307299905,-0.06988749453397841,0.028952455018083953,0.15002719374344411,-0.07129715402341473,-0.040150055880935856,-0.11947649570507125,-0.07633525785619959,-0.20883861448081628,-0.06723502039823687,-0.14040871535292435,-0.12739635896813004]","[-0.1,-0.05625,-0.1125,-0.1375,-0.15,-0.11875,-0.11875,-0.09375,-0.0875,-0.08125,-0.18125,-0.125,-0.0375,-0.09375,-0.0625,-0.0375,-0.14375,-0.0875,-0.00625,-0.175,-0.0625,-0.36875,-0.08125,-0.13125,-0.15,-0.10625,-0.2,-0.1375,-0.16875,-0.13125]"
13000,182981,0.1560988937244016,0.006922138801533681,219.84760295707193,0.314363280187992,0.3750599548511726,collectif,0.13373488897389207,1.3745323622039476,0.7543396831922246,-0.13125,0.2019508989527294,5,"[0.21512905447969097,0.2019508989527294,0.17996920331728264,0.2403150969337834,0.05543508233680552]","[-0.14375,-0.125,-0.08125,-0.13125,-0.2]"
