evolution$generation,evolution$evaluated,giniParcelles,croissanceDemographique,troupeau,giniTroupeau,malusFertilite,strategiePaturage,objective$deltaPopulation,objective$deltaFertilite,evolution$samples,deltaFertilite,deltaPopulation
3100,77031,0.3400203336302787,0.0049380914566604225,189.76098934028005,0.17763066427859156,0.9708302236813788,collectif,-0.19687500000000002,-0.01818291749881128,30,"[0.07840649237622979,0.0518801774666414,-0.02201487947372342,-0.009553600425639667,0.011167347497419643,-0.045914132811127085,-0.07031851969861135,-0.030722913852397445,-0.04197392869529935,0.006135945871191008,-0.042068734769480094,-0.035661801766996966,-0.03847328727604616,-0.020723065265167324,-0.017455083833629186,-0.06298530243196954,0.007972321029600514,-0.00359746036475629,-0.010491695776428092,-0.06115048985481983,-0.018910751163993374,-0.04193917386700337,-0.008547552032734766,-0.051548341399985785,-0.0030170821100961574,-0.016382639122816952,-0.004237296771150967,0.07294738119156154,-0.01931784450703097,0.006412200459124621]","[-0.225,-0.21875,-0.1875,-0.1875,-0.1875,-0.26875,-0.2625,-0.20625,-0.1875,-0.15625,-0.19375,-0.24375,-0.20625,-0.20625,-0.2,-0.29375,-0.14375,-0.19375,-0.14375,-0.23125,-0.23125,-0.29375,-0.19375,-0.20625,-0.2,-0.1875,-0.19375,-0.1875,-0.18125,-0.1875]"
3100,77031,0.14503351370356843,0.01241965377027264,120.5754252582164,0.20260513636063585,0.22651672898710862,par cuisine,-0.0125,0.5220889784693259,30,"[0.5107239359562847,0.520691191235092,0.5361971232156463,0.48603501369718066,0.4329648853936664,0.5425343766716187,0.5370718395158335,0.5135690041174927,0.5243884868957002,0.5190924970177807,0.5482759078972432,0.5459569991067932,0.5378052526089134,0.5051941871193504,0.4863333510524357,0.5674913951725826,0.47375262031925636,0.5385285629590659,0.5758537104512358,0.46250865713801304,0.5234867657035598,0.5429396068821241,0.5017743991301321,0.5073474283928838,0.49630420695066685,0.5426723830594393,0.4588484069706859,0.48829946034124,0.5339619900246838,0.5424046615581303]","[-0.04375,-0.04375,-0.05,-0.0625,-0.075,0.0375,0.0,0.04375,-0.0125,-0.00625,-0.00625,0.025,0.0625,-0.00625,-0.0625,0.025,-0.01875,-0.0125,0.00625,-0.05625,0.025,0.04375,0.0,-0.0125,-0.06875,-0.03125,-0.0625,-0.025,0.00625,-0.01875]"
3100,77031,0.47654367876278536,0.00957617800724394,113.13610743885698,0.4513965575111819,0.289624366473667,collectif,-0.315625,0.1327122083668858,30,"[0.009857406998838098,0.23004953229218408,0.08571712481126867,0.1670523244044937,0.13650585992097117,0.10747015348141334,0.20218756001436838,0.31949208058012624,0.03513533899803989,0.023994605900984546,0.12270010650299411,0.1719657796389284,0.12360480707107983,0.10131154050488667,0.14579660105515227,0.05429434089922042,0.06711522019269787,0.1872961814885161,0.17217883511506046,0.05413433614039073,0.13618474392051927,0.21236877344807997,0.12672060061689894,0.21834902322268257,0.1292396728132523,0.040136662835681,0.15457834844201357,0.2063790759002369,0.2595904590790132,0.051358459083589]","[-0.4125,-0.14375,-0.275,-0.375,-0.35625,-0.3,-0.2625,-0.3125,-0.31875,-0.4,-0.33125,-0.36875,-0.3625,-0.33125,-0.375,-0.3125,-0.34375,-0.275,-0.31875,-0.2875,-0.3125,-0.2625,-0.31875,-0.25625,-0.28125,-0.3,-0.3125,-0.36875,-0.35625,-0.26875]"
3100,77031,0.4374748948057291,0.018087024402388675,250.0,0.46482948630720033,0.0,mixte,-0.2625,0.27110297358107754,7,"[0.2734287226488071,0.22366230825679603,0.27110297358107754,0.27423249069161343,0.2695424294106696,0.20018533820496867,0.2903380538885935]","[-0.275,-0.2375,-0.23125,-0.2625,-0.29375,-0.275,-0.19375]"
3100,77031,0.11586292506778387,0.02,238.05196076762692,0.6,0.0,collectif,0.053125000000000006,2.3562403136683343E-4,30,"[-0.0345391258440767,-0.002742156995149013,0.008282588804520832,-0.045656454097570215,0.02595170918031215,-0.015259736519355123,0.02933363274638783,0.05392276009983982,0.0319697378667484,0.00469423580029482,-0.01941087031838932,0.00321340505788268,0.025390077528881644,0.025051540934460877,-0.021590834020314142,0.04029467329998466,-0.01999831249742443,-0.01696541666710967,-0.029300383586553836,-0.01648412546785262,0.029045989707567613,0.009671718143037598,-0.01937362051811525,-0.009409603316654356,-0.006059243114773902,-0.004727545090057929,0.004241764302817579,0.02085421714219551,-0.031340556035037055,0.05161321010116219]","[-0.025,0.01875,0.05,0.0375,0.1125,0.0,0.075,0.1375,0.1125,0.1,0.0,0.10625,0.0625,0.0625,0.0375,0.16875,0.0375,0.04375,-0.0625,0.0,0.1125,0.125,0.04375,0.025,0.06875,0.05,0.05625,0.1,0.01875,0.09375]"
3100,77031,0.11598052031825348,0.01997071143223867,235.37800190831007,0.6,0.0,collectif,0.11875,-0.001080491075122069,1,"[-0.001080491075122069]","[0.11875]"
3100,77031,0.25018758756500675,0.01918842574188477,250.0,0.250917035518585,0.5047597923385986,collectif,-0.08125,-0.10794267646888743,7,"[-0.1089257054786251,-0.10794267646888743,-0.11095982183397314,-0.07059576001207694,-0.05273080320040557,-0.12185820996422002,-0.07570609738775022]","[-0.1125,-0.10625,-0.08125,-0.05,-0.025,-0.09375,-0.06875]"
3100,77031,0.12326615681564031,0.007753476718343337,230.18192179086518,0.2803828037191501,0.5219229927914674,collectif,-0.0125,-0.011058583522809032,30,"[-0.06472894194300591,0.028649776432699833,0.040389755804039446,-0.01291924543474533,-0.04276492483903733,-0.016205291195163295,-0.030297384897419427,-0.0021283572109811882,-0.014402380938006549,0.00592176486562329,0.0022938706193545142,0.01688713926319166,-0.0011976050531499252,-0.01822597959865725,-0.009197921610872737,-0.022465831058239186,-0.0018238304005419367,-0.04358633763046355,0.002810782544721542,-0.018274582768278803,0.006746197941882668,-0.004503028916666814,-0.014877314413479604,-0.02260543465704374,0.013497145811197394,-0.015147523801825198,-0.009024744085052697,-0.002064987105215877,-0.030725116058028405,-0.013960956198629047]","[-0.14375,-0.05625,0.0375,-0.00625,-0.1125,-0.0125,-0.025,-0.0125,-0.0625,0.00625,0.0,-0.03125,-0.00625,-0.01875,0.01875,-0.0625,-0.0125,-0.05625,-0.025,-0.00625,-0.0125,-0.0125,-0.0125,-0.0125,0.05,-0.04375,-0.00625,0.03125,-0.03125,-0.03125]"
3100,77031,0.1,0.017802586299112563,250.0,0.5146488735726453,0.2744736612827806,collectif,0.08125,-0.0011256562379720935,6,"[0.021738094664638417,0.026208597467314885,-0.0015139807344586097,-0.032855017229318946,-0.017052286598320036,-7.373317414855775E-4]","[0.1625,0.0625,0.1,0.0125,0.11875,0.0125]"
3100,77031,0.2488954417986958,0.008515249035612822,170.73524422075303,0.4026063102870502,0.3132836282469186,collectif,-0.109375,0.062178897022981336,30,"[0.07530361137165625,0.0477091416691562,0.015520829945696188,0.08196466366434416,0.06984487651486493,0.059175530232956935,0.051112296240182695,0.050601826758342905,0.04325307935481495,0.11715652564185766,0.1087979132507249,0.08061002166308921,0.021365373307676568,0.08600828687773474,0.03544842988697164,0.025983064713717672,0.10046265955675295,0.05970267313360669,0.055668190915212454,0.13700794534005545,0.1069667706932224,0.08827854798216687,0.06391413136842672,0.05876156591017492,0.04571806273717083,0.0815646077443147,0.09169925599043904,0.05902787834016969,0.06044366267753596,0.12779414818193824]","[-0.1625,-0.13125,-0.21875,-0.0625,-0.09375,-0.1,-0.11875,-0.125,-0.14375,-0.025,-0.10625,-0.15625,-0.15625,-0.1,-0.125,-0.16875,-0.0375,-0.0875,-0.05,-0.0875,-0.11875,-0.075,-0.1875,-0.075,-0.1125,-0.1125,-0.06875,-0.0875,-0.11875,-0.04375]"
