Year,ID,Area,QS,N/ha,Manure/ha,Mulch/ha,Yield/ha,for crop
1,Parcel33893.868162802035-b703609_18a74ce22e5_-64e2,0.204,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel88288.17073286299-b703609_18a74ce22e5_-6378,0.479,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel38386.593683492756-b703609_18a74ce22e5_-651f,0.231,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel58547.08851181054-b703609_18a74ce22e5_-6504,0.200,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel21974.932326837494-b703609_18a74ce22e5_-64b1,0.370,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel90238.96486423525-b703609_18a74ce22e5_-64ca,0.387,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel8367.37358260572-b703609_18a74ce22e5_-64c8,0.355,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel38607.44504058519-b703609_18a74ce22e5_-652e,0.391,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel2285.7735973787485-b703609_18a74ce22e5_-638a,0.513,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel4900.583797433877-b703609_18a74ce22e5_-64d4,0.475,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel20478.90706495735-b703609_18a74ce22e5_-6396,0.227,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel52565.5171863439-b703609_18a74ce22e5_-6326,0.213,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel76947.00921195696-b703609_18a74ce22e5_-639c,0.296,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel2212.596120488042-b703609_18a74ce22e5_-637b,0.162,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel10995.242766413348-b703609_18a74ce22e5_-651c,0.258,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel28686.96091664038-b703609_18a74ce22e5_-630f,0.192,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel92616.75079300976-b703609_18a74ce22e5_-6386,0.410,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel35025.94544361759-b703609_18a74ce22e5_-64fa,0.181,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel6182.157422081136-b703609_18a74ce22e5_-6529,0.297,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel4121.8090092714265-b703609_18a74ce22e5_-6312,0.361,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel96695.5108846558-b703609_18a74ce22e5_-652a,0.171,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel52715.71120148132-b703609_18a74ce22e5_-6303,0.317,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel51681.273268280805-b703609_18a74ce22e5_-6398,0.467,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel70867.1166525673-b703609_18a74ce22e5_-64e0,0.312,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel33621.72276859612-b703609_18a74ce22e5_-64f9,0.250,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel78857.36178862087-b703609_18a74ce22e5_-6501,0.185,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel47237.56372806575-b703609_18a74ce22e5_-6355,0.503,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel66035.88124200565-b703609_18a74ce22e5_-64c0,0.355,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel60859.21771299594-b703609_18a74ce22e5_-6356,0.392,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel26039.187313883227-b703609_18a74ce22e5_-6371,0.331,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel52125.3475589046-b703609_18a74ce22e5_-6489,0.446,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel18102.54345726089-b703609_18a74ce22e5_-64d3,0.225,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel39306.602759600464-b703609_18a74ce22e5_-64db,0.406,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel99764.79385542985-b703609_18a74ce22e5_-638f,0.507,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel9132.226042568658-b703609_18a74ce22e5_-6352,0.464,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel15068.177591673537-b703609_18a74ce22e5_-630c,0.465,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel84343.3339978733-b703609_18a74ce22e5_-6314,0.403,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel86140.91882566817-b703609_18a74ce22e5_-64b4,0.249,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel71623.53376492202-b703609_18a74ce22e5_-6364,0.341,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel1461.390542229468-b703609_18a74ce22e5_-637f,0.393,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel92297.26475201991-b703609_18a74ce22e5_-631f,0.199,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel30201.157421864467-b703609_18a74ce22e5_-64fd,0.289,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel73309.32265104674-b703609_18a74ce22e5_-6319,0.341,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel47355.78486130432-b703609_18a74ce22e5_-64bb,0.290,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel78196.90505377471-b703609_18a74ce22e5_-636e,0.378,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel33879.50812897564-b703609_18a74ce22e5_-6359,0.498,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel98630.59562073824-b703609_18a74ce22e5_-652b,0.364,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel53597.932974751464-b703609_18a74ce22e5_-62ff,0.379,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel42445.821762790816-b703609_18a74ce22e5_-63a2,0.341,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel22472.2685948469-b703609_18a74ce22e5_-6397,0.334,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel95038.74236901851-b703609_18a74ce22e5_-653a,0.223,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel90453.92628530163-b703609_18a74ce22e5_-639a,0.465,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel9807.067071541265-b703609_18a74ce22e5_-6390,0.475,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel41047.78972538492-b703609_18a74ce22e5_-64e8,0.275,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel14542.384655002526-b703609_18a74ce22e5_-631d,0.446,1.000,39.500,0.000,824.363,706.597,Millet
