Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
4815.92061395639,4815.920613956395,4815.9206139563885,4815.92061395639,4815.920613956395,4815.920613956397,4815.920613956395,4815.920613956393,4815.920613956397,4815.920613956393
4668.318465915813,4668.318465915819,4668.318465915818,4668.318465915819,4668.318465915815,4668.318465915817,4668.318465915824,4668.318465915813,4668.318465915816,4668.318465915814
4609.207689158998,4609.207689159001,4609.207689158998,4609.207689159,4609.207689158991,4609.207689158999,4609.207689159002,4609.207689159004,4609.207689159005,4609.207689158992
4592.575426683033,4592.575426683039,4592.575426683028,4592.575426683034,4592.575426683025,4592.575426683036,4592.575426683033,4592.575426683037,4592.575426683028,4592.575426683034
4510.9599054357295,4510.959905435732,4510.959905435737,4510.959905435729,4510.959905435732,4510.9599054357295,4510.959905435735,4510.95990543573,4510.95990543572,4510.959905435733
4460.827374133322,4460.827374133319,4460.8273741333205,4460.827374133319,4460.827374133317,4460.827374133318,4460.827374133317,4460.827374133319,4460.827374133311,4460.827374133319
4460.690106248347,4460.6901062483485,4460.690106248347,4460.690106248349,4460.690106248345,4460.690106248345,4460.690106248348,4460.690106248348,4460.690106248344,4460.690106248345
4323.7297092217095,4323.7297092217095,4323.729709221708,4323.729709221702,4323.729709221702,4323.729709221702,4323.729709221705,4323.729709221704,4323.729709221702,4323.729709221705
4303.665363771286,4303.665363771291,4303.665363771282,4303.665363771288,4303.665363771283,4303.6653637712825,4303.665363771282,4303.665363771284,4303.665363771284,4303.665363771279
4273.841605899712,4273.841605899709,4273.841605899713,4273.841605899716,4273.841605899716,4273.841605899714,4273.841605899716,4273.841605899717,4273.841605899713,4273.841605899713
4158.583205570208,4158.5832055702,4158.583205570203,4158.583205570199,4158.583205570205,4158.583205570207,4158.583205570205,4158.583205570209,4158.583205570203,4158.583205570201
4177.332519873092,4177.332519873096,4177.332519873092,4177.332519873098,4177.332519873098,4177.332519873095,4177.332519873093,4177.332519873097,4177.332519873095,4177.332519873092
4143.236797741525,4143.236797741533,4143.236797741532,4143.236797741523,4143.236797741525,4143.236797741528,4143.236797741529,4143.236797741523,4143.236797741527,4143.236797741525
4029.8676374108964,4032.5813613958594,4647.517024005025,4029.8676374108964,4029.8676374108973,4029.8676374108913,4024.5329980587885,4029.8676374108945,4038.1684401884336,4028.312164976281
3990.346289286312,4000.8586942275065,4606.112041629332,4099.759921409274,4275.158547704759,4696.77486319239,3806.3868272510877,4095.243505594738,4163.672037900962,3992.2477570686606
4016.293843536265,4002.2855248163414,4608.1452338829595,4175.599251981542,4529.949542755519,4305.22679987329,4180.151710356549,4107.761826919368,4172.022563645505,3975.9251064544646
3921.6762957603232,3932.4076728935593,4530.819761624475,4091.8758341474963,4486.739014236786,4348.106619224238,3684.6635743624074,4060.0483649155767,4133.1862604496,3906.7318908947286
3862.213531675747,3896.9655923048686,4490.514628532193,4033.258545405138,4430.144099046566,4211.954283589825,4081.5787719857753,4054.419327078957,4085.3001168115693,3845.460354897423
3869.423797026991,3890.023062311794,4484.845861511474,4048.177956061654,4443.861545712742,4253.739251203761,3581.033448670513,4054.2092595361532,4054.364057957384,3843.9427297843813
3778.2640392574694,3810.962814865956,4393.075123925021,3946.8539206757955,4307.510475995104,4216.637266017906,3960.565669694632,3982.6351109030657,4005.941147254972,3760.477369279889
3718.968968439665,3769.619151240832,4340.074972594207,3876.912537341489,4201.886679770755,4127.7813061865,3453.374666363834,3934.948528297592,3962.6634796422454,3700.571520100656
3703.1572292998517,3752.1410877067706,4296.409880119201,3842.8584929663157,4165.35872216704,4087.497806335403,3837.1167749424067,3890.5578488806373,3935.184113816576,3632.1061787560284
3584.283899742551,3658.3045141599714,4203.977335467012,3702.0463225829512,4070.8333322508943,4004.6302462688154,3370.01584042567,3648.69341753569,3882.5477213329596,3545.6666973131705
3528.4636280172344,3629.7513926499173,4168.270335242107,3636.586401832385,3914.253560756036,3966.7760386451773,3748.951453269113,3508.9235243638727,3832.599725594999,3524.259003137015
3516.099555197537,3603.4052257050485,4130.513963245597,3623.6455831897624,3824.7164778556094,3932.3454974236242,3328.324473388996,3475.8152220914094,3811.76794999338,3516.4109233373915
3446.7974393954214,3474.4175147657306,4014.049336844997,3545.952276311975,3744.1620373701385,3854.596630126897,3677.9386732361772,3421.848589810831,3772.244873009676,3448.770812286598
3412.9819478931613,3403.0716635013223,3954.8627699661874,3526.1892601798354,3691.652127614012,3799.5871578954007,3268.3946067816123,3416.074897050913,3725.5913004977706,3429.6475252640284
3402.6821306890456,3400.426686968625,3941.1479615310873,3518.2993789796537,3669.093074214028,3771.2964932123714,3600.848935810149,3396.1300523532786,3705.651070941496,3424.320899834212
3345.3091816200767,3342.9817351867396,3873.505834459992,3450.881847720298,3595.088690503452,3745.180378867167,3195.2950080406927,3342.0530060146966,3663.55337707456,3351.897686301306
3310.3069773380025,3295.171011758141,3818.039770179194,3421.1719346496925,3562.400001893943,3716.059163494801,3545.2923043240767,3314.3216660351895,3616.4903298007334,3326.128531346594
3304.6101215325857,3298.55349581088,3808.993331158292,3412.710765805015,3547.2242657911042,3687.4751799676974,3154.4100341319822,3293.7085966997747,3582.6050132269493,3315.816986993053
3256.8282594040797,3238.802232446564,3755.9160757338914,3337.2374615323265,3465.217637253742,3662.169277499294,3522.5225411257534,3239.4444559954995,3535.4023965821957,3254.115451683071
3191.4211591649987,3189.833636117118,3719.4834636582145,3303.52462373305,3422.9001621154,3635.1721864901397,3102.0518674063055,3201.772836187511,3489.4117498311693,3228.595122476479
3194.450811832546,3207.896248393594,3726.747847092895,3313.989672969529,3408.14545357044,3605.887389237708,3485.36787130298,3181.1576304589585,3464.4779289657986,3225.573116260326
3153.3135335344955,3156.989026652096,3656.7928740813277,3228.719757886141,3341.6969749476334,3582.2709414289184,3032.676830651096,3144.3170911449474,3428.826729230236,3166.5220902271953
3118.469117421263,3109.1219084256913,3599.731536317036,3203.2612240059248,3309.0862599797647,3558.1576738490467,3407.7566940637525,3119.565889620827,3386.374864562224,3125.2474959642495
3131.5395674805513,3112.5266996459754,3600.8593053642003,3213.515289317358,3288.4191601035095,3527.2066844920105,2977.0412359800475,3103.2484862882116,3362.0241499903777,3125.954441452115
3075.492495966049,3065.9496943339586,3562.5450723286485,3144.8200778150626,3248.5387844487013,3507.4972435468426,3353.0672373169145,3059.801253541001,3327.4318265381858,3074.9557041727903
